624.1,395.5,0.5
598.8,400.0,1.2
589.4,385.3,1.0
620.9,386.0,2.5
571.4,412.8,5.1
600.6,396.4,3.2
589.7,387.0,2.0
601.6,409.5,3.0
594.2,380.6,3.7
630.5,402.4,5.3
602.7,409.2,0.7
589.0,411.6,2.3
615.5,390.3,0.1
623.0,401.8,6.0
605.7,401.9,1.3
602.1,386.7,4.3
614.5,393.0,1.7
595.2,398.4,4.2
599.4,383.0,3.6
606.7,398.5,1.8
597.3,397.3,2.6
589.6,395.9,5.8
617.5,425.2,1.7
617.0,408.4,1.5
574.7,392.6,3.5
570.7,424.4,4.3
608.1,403.2,5.2
588.1,390.4,5.6
587.1,379.8,1.4
590.9,388.6,4.6
613.9,395.5,1.3
600.9,404.4,0.8
582.4,388.0,0.3
589.4,425.8,0.4
606.9,406.7,5.9
618.5,387.3,1.7
594.3,412.4,2.0
627.7,389.8,4.8
588.5,404.1,0.5
618.6,400.2,0.7
634.2,395.9,3.6
583.2,406.5,0.1
579.9,416.2,2.2
620.3,407.2,0.4
580.8,401.8,5.4
642.9,402.4,0.8
592.7,388.6,0.3
582.3,390.3,4.2
589.9,396.2,6.2
619.7,381.0,2.0
592.7,391.2,2.1
589.5,424.6,0.6
597.7,404.2,3.1
584.1,421.6,4.2
580.8,391.3,3.9
588.4,406.9,2.8
609.5,395.8,4.6
599.9,399.0,2.2
574.6,380.6,4.9
606.8,380.8,1.6
630.5,407.1,3.3
628.4,391.1,5.2
590.6,388.2,1.3
582.5,394.9,3.3
596.7,397.7,5.7
609.0,396.6,0.9
590.9,398.6,3.8
596.4,409.3,4.4
618.1,405.1,1.0
609.7,389.4,0.1
607.0,406.7,0.1
594.5,386.0,2.1
620.7,392.4,6.2
601.3,393.5,3.5
583.4,416.2,4.2
614.5,406.3,6.2
592.2,406.1,1.4
603.7,396.2,5.0
586.8,398.8,6.1
573.3,395.9,5.3
620.6,394.3,0.7
612.1,401.8,0.0
623.8,413.7,1.1
617.2,399.5,0.8
584.6,420.9,2.6
572.4,407.9,4.0
588.9,390.5,0.8
605.8,395.2,4.3
608.6,392.1,4.2
600.4,400.9,5.5
587.6,406.3,5.3
609.9,403.7,4.9
608.1,390.8,1.9
616.9,395.6,3.6
622.5,404.9,0.0
579.3,410.0,0.6
573.6,389.4,4.3
591.6,407.8,2.9
626.6,402.7,4.2
595.2,382.3,3.8
617.2,395.7,4.7
579.4,402.2,5.8
606.7,394.0,4.2
588.6,400.5,2.8
630.0,411.9,0.3
612.4,384.4,6.2
614.6,394.6,5.8
613.9,408.6,5.0
577.0,357.9,3.4
617.2,385.3,4.7
624.6,394.9,4.4
589.3,402.5,4.3
597.5,408.9,1.1
617.5,398.3,5.7
597.4,405.6,3.6
607.6,390.5,1.4
577.8,413.4,1.7
584.0,402.5,4.5
596.0,384.9,0.9
558.6,406.6,2.0
578.1,390.5,5.9
593.9,436.3,3.4
601.9,395.4,0.3
609.5,401.3,5.7
622.7,411.2,2.4
592.4,399.4,0.8
615.7,394.1,4.5
610.1,380.4,3.2
610.5,382.6,1.6
604.9,389.3,0.8
608.6,403.8,5.6
599.3,402.0,0.1
566.9,407.4,5.8
586.7,408.3,6.0
618.8,403.4,3.3
611.4,401.9,1.2
564.9,433.3,6.0
621.5,413.8,3.5
605.4,371.4,0.1
607.6,397.4,4.0
607.2,393.8,6.1
619.2,416.0,4.3
578.4,410.4,3.0
594.2,392.0,0.5
611.4,396.7,2.4
603.4,397.8,3.5
583.4,422.0,4.0
631.8,396.3,6.0
576.5,387.4,5.7
573.2,396.5,2.4
610.4,393.7,5.0
580.3,410.8,2.2
613.7,396.6,1.2
612.5,384.7,2.5
608.4,432.0,4.6
581.6,392.7,1.9
606.6,385.4,3.9
619.7,380.1,1.4
595.4,397.7,3.0
614.2,375.6,5.2
632.9,412.4,4.5
606.6,395.8,6.0
617.7,411.5,0.4
582.0,426.9,5.6
590.2,398.7,2.3
596.1,399.5,6.0
609.2,385.1,3.7
630.6,394.9,4.0
605.3,405.6,5.5
597.0,403.2,3.7
618.7,410.6,6.2
595.0,384.7,4.2
583.2,390.3,5.3
596.3,392.9,1.2
618.3,396.8,5.0
613.9,376.0,5.4
593.6,399.9,3.4
631.6,398.9,1.8
608.5,393.6,1.9
575.6,402.2,4.5
619.3,381.5,6.3
593.0,388.9,1.1
583.6,425.3,6.1
580.7,385.7,1.4
602.0,392.4,5.5
584.6,402.1,2.0
581.0,420.4,2.3
619.4,406.2,0.9
603.9,390.9,4.0
610.5,397.6,3.8
596.4,407.2,1.6
599.5,392.0,1.7
603.1,393.9,4.4
597.5,401.1,0.3
582.4,397.3,3.4
620.0,414.2,2.3
596.2,399.0,2.5
609.9,402.8,3.4
595.4,400.4,4.9
619.0,412.5,6.2
